level_0	index	SITEID	IT_BUDGET	HARDWARE_BUDGET	PC_BUDGET	SERVER_BUDGET	TERMINAL_BUDGET	PRINTER_BUDGET	OTHER_HARDWARE_BUDGET	STORAGE_BUDGET	COMM_BUDGET	SOFTWARE_BUDGET	SERVICES_BUDGET
219999	219999	208011450	63291	5505	3063	345	967	898	1865	230	4933	20102	17203
220002	220002	208011973	217460	10875	6671	357	1549	1465	3014	834	7058	23312	30302
220020	220020	208012548	987751	46062	26827	13667	0	1519	0	2531	113832	120245	271507
220028	220028	208012816	58805	3518	1668	988	363	308	671	191	2064	9773	15461
220029	220029	208012860	840910	50310	23851	14131	5192	4411	9603	2725	29522	139754	221089
220032	220032	208013135	28412	2467	1626	0	0	301	0	186	1448	6852	10840
220044	220044	208017157	1317230	78807	37362	22135	8132	6909	15041	4269	46244	218916	346321
220049	220049	208017399	79137	5635	4226	241	523	483	1006	161	6458	14586	32489
220050	220050	208017499	4258308	202383	117989	30054	19712	19712	39424	14916	135413	684635	2171299
220054	220054	208017712	836534	44702	12637	23645	0	2195	0	3018	34899	178339	197122
220059	220059	208017967	483339	23271	16234	1826	2201	2006	4207	1003	6604	146853	84004
220064	220064	208018486	236800	20596	14703	869	2233	2109	4342	682	18456	75210	64364
220066	220066	208018698	1379100	68970	42304	2266	0	9292	0	5288	44760	147838	192172
220068	220068	208018840	1576938	78471	49137	2752	11277	10740	22017	4565	39888	168717	679477
220071	220071	208018968	613615	36711	17404	10311	3788	3218	7006	1988	21542	101979	161330
220072	220072	208019021	77397	4392	1709	1501	456	377	833	349	3440	20695	18607
220073	220073	208019143	235378	20473	11493	718	3951	3412	7363	898	18345	74759	63978
220075	220075	208019208	765586	38288	28570	1259	0	3680	0	936	24848	82070	106681
220078	220078	208019413	1041662	74172	51442	3589	0	8374	0	2393	85001	191994	427645
220079	220079	208019418	71088	3315	1390	855	0	374	0	294	8192	8654	19540
220095	220095	208021355	193895	13017	7074	442	0	2313	0	670	5916	25718	94236
220104	220104	208021819	67554	4042	1916	1135	417	354	771	219	2372	11227	17761
220117	220117	208022312	110312	6259	2436	2139	0	538	0	497	4903	29497	26520
220118	220118	208022354	27172	2359	1668	0	282	267	549	141	1384	6553	10367
220119	220119	208022361	120759	7041	5376	321	614	555	1169	175	3722	23076	41204
220127	220127	208022545	117610	7036	3336	1976	726	617	1343	381	4129	19546	30922
220128	220128	208022596	162438	12822	9333	0	1383	1259	2642	847	10010	51153	56541
220133	220133	208023108	294737	14740	10999	485	0	1417	0	360	9566	31596	41070
220138	220138	208023568	119468	7148	3389	2008	0	627	0	387	4194	19855	31410
220139	220139	208023611	144580	7231	4435	238	0	974	0	554	4693	15499	20147
220141	220141	208023738	85932	4298	2636	141	612	579	1191	329	2789	9212	11974
220148	220148	208023879	29116	1412	946	54	169	165	334	79	1066	1768	16201
220151	220151	208023950	673724	40307	19109	11322	0	3534	0	2183	23653	111969	177133
220153	220153	208024058	88639	6350	3015	0	0	1451	0	301	2886	12545	45970
220154	220154	208024066	75134	6535	3975	257	1003	952	1955	347	5856	23863	20422
220157	220157	208024136	111729	6685	3169	1878	690	586	1276	362	3923	18569	29375
220162	220162	208024210	36235	2168	1472	87	249	236	485	125	1272	6022	9527
220168	220168	208024379	102665	8913	6303	0	1067	1009	2076	534	5230	24761	39171
220169	220169	208024466	42089	2105	1291	69	300	284	584	161	1366	4512	5865
220173	220173	208024596	441037	26386	12509	7411	2723	2313	5036	1429	15484	73298	115956
220174	220174	208024597	23522	2042	1346	0	293	249	542	154	1198	5673	8975
220175	220175	208024598	60391	3613	2453	144	415	393	808	208	2120	10037	15878
220177	220177	208024651	35871	3114	2053	0	447	380	827	235	1828	8651	13686
220178	220178	208024686	43922	2048	978	631	0	149	0	120	5062	5347	12073
220179	220179	208024713	147312	7367	4519	242	1049	993	2042	565	4781	15792	20527
220180	220180	208024755	352829	21109	10008	5929	2178	1851	4029	1143	12387	58638	92765
220181	220181	208024789	820270	41022	30611	1349	0	3943	0	1003	26623	87932	114301
220182	220182	208024799	12786564	683272	428965	93937	63577	57862	121439	38932	533440	2725942	3013045
220185	220185	208024873	53019	4185	3046	0	451	411	862	276	3267	16696	18455
220186	220186	208024937	58173	3301	1285	1128	342	284	626	262	2585	15555	13985
220193	220193	208025257	38162	1899	1189	67	273	260	533	110	965	4083	16443
220196	220196	208025333	142703	7137	4377	235	1016	961	1977	547	4632	15298	19885
220198	220198	208025405	102665	6142	4170	246	706	668	1374	353	3604	17062	26992
220199	220199	208025437	64685	3870	1835	1087	399	339	738	210	2271	10750	17007
220200	220200	208025449	28226	2451	1616	0	352	299	651	185	1438	6808	10769
220210	220210	208025649	32931	1970	934	553	203	173	376	107	1156	5473	8658
220212	220212	208025698	25370	1444	988	0	165	165	330	125	966	4884	15489
220219	220219	208025916	44273	2582	1794	131	306	263	569	88	1364	8460	15106
220222	220222	208026007	44692	2674	1268	751	276	234	510	145	1569	7428	11750
220223	220223	208026109	63680	6127	4401	0	731	701	1432	294	5490	22374	19148
220224	220224	208026176	46113	2295	1437	80	330	314	644	133	1166	4934	19869
