level_0	index	SITEID	REF_TYPE	REF_ID
13301	13301	208066686	DUN	245026265
13310	13310	209059156	DUN	203812508
13357	13357	208032748	DUN	203041350
13366	13366	208458248	DUN	250519639
13423	13423	208450694	DUN	206561073
13430	13430	208098620	DUN	244253618
13448	13448	208460501	DUN	255410974
13452	13452	208104204	DUN	202983805
13481	13481	209115131	DUN	258910525
13489	13489	208133398	DUN	254675929
13490	13490	209193762	DUN	242561640
13493	13493	208082861	DUN	254082324
13601	13601	208068702	DUN	247136708
13684	13684	208113005	DUN	205042851
13702	13702	208983612	DUN	247434210
13716	13716	208117579	DUN	251519724
13761	13761	208108959	DUN	202096426
13770	13770	208078616	DUN	252407416
13791	13791	208035132	DUN	205186120
13805	13805	208470129	DUN	252992847
13807	13807	208131729	DUN	245671321
13817	13817	208116157	DUN	208973151
13821	13821	208111813	DUN	203193797
13828	13828	208843143	DUN	245085670
13830	13830	208114934	DUN	207005005
13831	13831	208027981	DUN	209190003
13837	13837	208076752	DUN	251986022
13853	13853	208121704	DUN	248611865
13903	13903	208082827	DUN	254057466
13905	13905	208057784	DUN	241744762
13919	13919	208135153	DUN	258301527
13929	13929	208063731	DUN	243533049
13933	13933	208011340	DUN	249020504
13956	13956	208105250	DUN	243742132
14003	14003	208132024	DUN	245938449
14008	14008	208124253	DUN	249441643
14011	14011	208842140	DUN	259004562
14053	14053	208125189	DUN	241783948
14078	14078	208892090	DUN	246294636
14094	14094	208463362	DUN	259665099
14129	14129	208470905	DUN	203825547
14137	14137	208109770	DUN	202226833
14145	14145	208094598	DUN	201656704
14167	14167	208100974	DUN	249350455
14173	14173	208118786	DUN	247075968
14189	14189	208100559	DUN	248347445
14204	14204	208109129	DUN	202312971
14217	14217	208112248	DUN	203307681
14366	14366	208102771	DUN	258204270
14403	14403	208065315	DUN	259973345
14433	14433	208071142	DUN	248901977
14435	14435	208129828	DUN	244814914
14441	14441	208465449	DUN	203140363
14459	14459	208135013	DUN	258213701
14511	14511	208034222	DUN	203666131
14596	14596	208105656	DUN	244582599
14618	14618	208470225	DUN	203638648
14641	14641	208113952	DUN	205443653
14701	14701	208028870	DUN	202306742
14737	14737	208065077	DUN	243734717
14765	14765	208448952	DUN	203088260
14825	14825	208132296	DUN	253314819
14836	14836	208464576	DUN	203141973
14882	14882	208109777	DUN	202232880
14926	14926	208037722	DUN	205703064
14942	14942	208463335	DUN	243654782
14967	14967	208976903	DUN	202978649
14986	14986	208052389	DUN	256747726
15029	15029	208024330	DUN	201020133
15056	15056	208034719	DUN	205037641
15073	15073	208451003	DUN	207173852
15120	15120	208009251	DUN	248010969
15124	15124	208059371	DUN	242102486
15131	15131	208128173	DUN	252406830
15132	15132	208133441	DUN	255026416
15159	15159	208123270	DUN	240452396
15171	15171	208127475	DUN	250213829
15205	15205	208589492	DUN	203701586
15249	15249	208458734	DUN	251911454
15281	15281	208567343	DUN	201658502
15296	15296	208120836	DUN	252025965
15309	15309	208102775	DUN	258224120
15343	15343	208110226	DUN	202673356
15368	15368	208116812	DUN	246283092
15375	15375	208112091	DUN	203091079
15428	15428	208395823	DUN	257815910
15437	15437	208278912	DUN	200017858
15454	15454	208035554	DUN	205241180
15470	15470	208037566	DUN	205678415
15480	15480	208447938	DUN	202096988
15488	15488	208455933	DUN	246150569
15557	15557	208108473	DUN	200805805
15572	15572	208589952	DUN	244607297
15599	15599	208043294	DUN	207152765
15608	15608	208028812	DUN	202278008
15617	15617	208132615	DUN	253850192
15644	15644	208134087	DUN	256234852
15666	15666	208117798	DUN	246625672
15684	15684	208400716	DUN	202032626
15695	15695	208053295	DUN	240629415
15704	15704	209412821	DUN	245229054
15712	15712	208470834	DUN	242952818
15721	15721	208017157	DUN	200596646
15728	15728	208447695	DUN	201648883
15767	15767	208589805	DUN	202770749
15802	15802	208072640	DUN	249589789
15808	15808	208116729	DUN	209915763
15811	15811	208132854	DUN	254351864
15815	15815	209065976	DUN	200135739
15848	15848	208092557	DUN	258908185
15875	15875	208084464	DUN	247267078
15888	15888	208454143	DUN	243442006
15927	15927	208127152	DUN	243272775
15940	15940	208927958	DUN	244077348
15965	15965	208457776	DUN	249355926
15976	15976	208034981	DUN	205150928
15989	15989	208081433	DUN	202549499
16006	16006	208456459	DUN	247069169
16040	16040	208458019	DUN	249880928
16055	16055	208452021	DUN	209738538
16057	16057	208096121	DUN	208004486
16075	16075	208883840	DUN	
16108	16108	208105659	DUN	244594784
16113	16113	208001070	DUN	248899916
16114	16114	208079115	DUN	252568647
16171	16171	208123609	DUN	240590120
16182	16182	208113991	DUN	205706430
16184	16184	208119900	DUN	247961522
16198	16198	208033709	DUN	203268052
16214	16214	208072958	DUN	249761404
16306	16306	208132326	DUN	253353478
16320	16320	208112970	DUN	205003879
16360	16360	208082667	DUN	253930465
16531	16531	208462891	DUN	203566567
16541	16541	208654000	DUN	248110611
16591	16591	208044190	DUN	207358219
16610	16610	208115512	DUN	208023663
16634	16634	208214653	DUN	203323857
16642	16642	208077196	DUN	252118823
16664	16664	208819921	DUN	245094763
16675	16675	208102819	DUN	258493949
16679	16679	208101987	DUN	253895544
16731	16731	208456150	DUN	246494756
16740	16740	209058502	DUN	203816066
16784	16784	208117367	DUN	251605549
16799	16799	208022656	DUN	200174857
16820	16820	208468649	DUN	241023766
16831	16831	208821255	DUN	209170968
16838	16838	208414156	DUN	200412467
16910	16910	208108648	DUN	201255572
16921	16921	208134579	DUN	257338228
16925	16925	208469561	DUN	244335324
16964	16964	208127041	DUN	243230864
16965	16965	208129927	DUN	244884404
16987	16987	209058200	DUN	
17008	17008	208036112	DUN	205353936
17027	17027	209244291	DUN	247891273
17056	17056	209036571	DUN	244829219
17058	17058	209038623	DUN	203690172
17063	17063	209200480	DUN	202540811
17099	17099	209039674	DUN	202662714
17102	17102	208457528	DUN	248750163
17137	17137	208018741	DUN	245026398
17146	17146	209341068	DUN	245959775
17156	17156	208062816	DUN	243391419
17172	17172	209207846	DUN	203764332
17186	17186	208046663	DUN	208523527
17286	17286	208058271	DUN	241828693
17374	17374	208071481	DUN	249036302
17385	17385	208103755	DUN	256883026
17405	17405	208037565	DUN	205678402
17451	17451	208589392	DUN	203703459
17504	17504	209281233	DUN	204921741
17548	17548	208069209	DUN	247636087
17590	17590	208136476	DUN	259864697
17602	17602	208556519	DUN	256488909
17615	17615	208104944	DUN	243298135
17627	17627	209176572	DUN	203207100
17628	17628	208100847	DUN	249027285
17631	17631	208448953	DUN	203088265
17635	17635	209218840	DUN	244277880
17652	17652	208129490	DUN	244271941
17656	17656	208135019	DUN	258224914
17668	17668	208011432	DUN	249358920
17676	17676	208068303	DUN	246792741
17682	17682	208005391	DUN	240831370
17699	17699	208053866	DUN	240701693
17746	17746	208109512	DUN	202528345
17767	17767	208447580	DUN	201267122
17779	17779	208375820	DUN	208594978
17795	17795	208324810	DUN	258177955
17810	17810	208044746	DUN	207646845
17835	17835	208120165	DUN	247895597
17845	17845	208073145	DUN	251419607
17868	17868	208052111	DUN	240503347
17870	17870	208089297	DUN	257816322
17933	17933	208012883	DUN	259962652
17935	17935	208117613	DUN	246533223
17946	17946	208077028	DUN	252016464
17947	17947	208127559	DUN	243493152
17983	17983	209148982	DUN	242096886
17986	17986	208084219	DUN	254665201
18073	18073	209058915	DUN	203817333
18105	18105	208045848	DUN	208013156
18125	18125	208469643	DUN	259804669
18145	18145	208131336	DUN	253088249
18228	18228	208008073	DUN	201265043
18229	18229	208589963	DUN	203626809
18260	18260	208456047	DUN	246373018
18291	18291	208057958	DUN	241782676
18296	18296	208449968	DUN	205349017
18338	18338	208024035	DUN	200576721
18346	18346	208028675	DUN	202248089
18350	18350	208451504	DUN	208514864
18403	18403	208055313	DUN	243862419
18471	18471	209059066	DUN	
18480	18480	208029818	DUN	202545872
18492	18492	208567067	DUN	202898284
